2026-05-24 15:29:23.551576 | fetch_page | args: ('https://habr.com/ru/articles/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Все статьи подряд &#x2F; Хабр</title>\n<link rel="image_src" href="/img/habr_ru.png" data-hid="2a79c45">\n<link href="https://habr.com/ru/articles/" rel="canonical" data-hid="e3fa780">\n<link href="https://habr.com/ru/articles/" hreflang="ru... [truncated]
2026-05-24 15:29:25.800468 | fetch_page | args: ('https://habr.com/ru/articles/1038604/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Пользователь пишет issue, агент меняет сайт. Да, я это сделал &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_... [truncated]
2026-05-24 15:29:25.808494 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038604/',), kwargs: {} | result: 'Три месяца назад, в феврале, я написал комментарий , что LLM-агенты могут обновлять кодовую базу по тикетам конечных пользователей и сразу выкатываться на прод. Некоторые коллеги эту идею поддержали, некоторые наоборот - раскритиковали. Это нормально, у нас у всех свой собственный опыт, которым и ф... [truncated]
2026-05-24 15:29:25.808748 | contains_keyword | args: ('Три месяца назад, в феврале, я написал комментарий , что LLM-агенты могут обновлять кодовую базу по тикетам конечных пользователей и сразу выкатываться на прод. Некоторые коллеги эту идею поддержали, некоторые наоборот - раскритиковали. Это нормально, у нас у всех свой собственный опыт, которым и ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:25.808917 | contains_keyword | args: ('ddconsult 2 часа назад Корпоративные конфликты в ИТ-секторе: механика судебной защиты активов и субсидиарных рисков Уровень сложности Средний Время на прочтение 7 мин Охват и читатели 2.8K Управление персоналом * Туториал Корпоративные противостояния внутри коммерческих организаций традиционно вхо... [truncated], kwargs: {} | result: False
2026-05-24 15:29:26.629195 | fetch_page | args: ('https://habr.com/ru/articles/1038558/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Корпоративные конфликты в ИТ-секторе: механика судебной защиты активов и субсидиарных рисков &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitte... [truncated]
2026-05-24 15:29:26.637314 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038558/',), kwargs: {} | result: 'Корпоративные противостояния внутри коммерческих организаций традиционно входят в категорию наиболее сложных и финансово затратных арбитражных дел. В ИТ-индустрии и высокотехнологичном бизнесе эти конфликты приобретают специфическую окраску: основная борьба здесь разворачивается не вокруг материаль... [truncated]
2026-05-24 15:29:26.637627 | contains_keyword | args: ('Корпоративные противостояния внутри коммерческих организаций традиционно входят в категорию наиболее сложных и финансово затратных арбитражных дел. В ИТ-индустрии и высокотехнологичном бизнесе эти конфликты приобретают специфическую окраску: основная борьба здесь разворачивается не вокруг материал... [truncated], kwargs: {} | result: False
2026-05-24 15:29:26.637785 | contains_keyword | args: ('enamored_poc 2 часа назад Цена одной опечатки: Как три неверные буквы сорвали киберограбление на миллиард долларов Уровень сложности Простой Время на прочтение 7 мин Охват и читатели 3.7K Информационная безопасность * Финансы в IT Сетевые технологии * История IT Читальный зал Кейс Взлом системы SW... [truncated], kwargs: {} | result: False
2026-05-24 15:29:27.457630 | fetch_page | args: ('https://habr.com/ru/articles/1038600/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Цена одной опечатки: Как три неверные буквы сорвали киберограбление на миллиард долларов &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:ca... [truncated]
2026-05-24 15:29:27.468854 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038600/',), kwargs: {} | result: '1. Миллиард в прицеле: Как Центробанк Бангладеш стал идеальной мишенью Чтобы украсть миллиард долларов у государства, не нужно взламывать хранилища с золотыми слитками. В современной международной банковской системе деньги — это просто записи на серверах. Центробанк Бангладеш, как и многие другие ц... [truncated]
2026-05-24 15:29:27.469247 | contains_keyword | args: ('1. Миллиард в прицеле: Как Центробанк Бангладеш стал идеальной мишенью Чтобы украсть миллиард долларов у государства, не нужно взламывать хранилища с золотыми слитками. В современной международной банковской системе деньги — это просто записи на серверах. Центробанк Бангладеш, как и многие другие ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:27.469431 | contains_keyword | args: ('Kiborg777 6 часов назад Как я победил спам в своих email аккаунтах Уровень сложности Средний Время на прочтение 8 мин Охват и читатели 6.3K Google API * Python * JavaScript * Google Cloud Platform * Туториал Да, я победил спам! Не "в основном", а "полностью и окончательно".  Без всяких "почти". По... [truncated], kwargs: {} | result: True
2026-05-24 15:29:27.469533 | contains_keyword | args: ('popovsergey 9 часов назад Whitepaper Сбера «AI-Disrupt PDLC»: разбор для тех, кто пишет код Уровень сложности Средний Время на прочтение 26 мин Охват и читатели 6.9K Блог компании Конференции Олега Бунина (Онтико) Мнение На ЦИПР-2026 в Нижнем Новгороде, 19 мая, Сбер выкатил whitepaper с амбициозны... [truncated], kwargs: {} | result: False
2026-05-24 15:29:28.138654 | fetch_page | args: ('https://habr.com/ru/companies/oleg-bunin/articles/1038588/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Whitepaper Сбера «AI-Disrupt PDLC»: разбор для тех, кто пишет код &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_la... [truncated]
2026-05-24 15:29:28.152010 | fetch_article_full_text | args: ('https://habr.com/ru/companies/oleg-bunin/articles/1038588/',), kwargs: {} | result: "На ЦИПР-2026 в Нижнем Новгороде, 19 мая, Сбер выкатил whitepaper с амбициозным названием — «AI-Disrupt PDLC. Стратегия AI-трансформации бизнеса: от кода к намерению». Автор — Кирилл Меньшов, СВП и глава блока «Технологии». В тот же день там же подписали меморандум о партнёрстве с red_mad_robot. То ... [truncated]
2026-05-24 15:29:28.152954 | contains_keyword | args: ("На ЦИПР-2026 в Нижнем Новгороде, 19 мая, Сбер выкатил whitepaper с амбициозным названием — «AI-Disrupt PDLC. Стратегия AI-трансформации бизнеса: от кода к намерению». Автор — Кирилл Меньшов, СВП и глава блока «Технологии». В тот же день там же подписали меморандум о партнёрстве с red_mad_robot. То... [truncated], kwargs: {} | result: True
2026-05-24 15:29:28.153417 | contains_keyword | args: ('arturwise 11 часов назад RustDesk Pro в России не купить. После долгих лет администрирования мы собрали своё честное решение Уровень сложности Средний Время на прочтение 10 мин Охват и читатели 11K Проектирование API * Серверное администрирование * Системное администрирование * Кейс Берем официаль... [truncated], kwargs: {} | result: False
2026-05-24 15:29:28.825009 | fetch_page | args: ('https://habr.com/ru/articles/1038580/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>RustDesk Pro в России не купить. После долгих лет администрирования мы собрали своё честное решение &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name=... [truncated]
2026-05-24 15:29:28.836410 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038580/',), kwargs: {} | result: 'Статья человека, который десять лет администрировал чужие компьютеры, а теперь делает то, чем хочет администрировать сам. Берем официальный RustDesk (AGPLv3), не делаем форк, патчим его на лету в GitHub Actions при каждой сборке клиента. Поверх - российская инфраструктура: серверы в РФ, оплата по с... [truncated]
2026-05-24 15:29:28.836801 | contains_keyword | args: ('Статья человека, который десять лет администрировал чужие компьютеры, а теперь делает то, чем хочет администрировать сам. Берем официальный RustDesk (AGPLv3), не делаем форк, патчим его на лету в GitHub Actions при каждой сборке клиента. Поверх - российская инфраструктура: серверы в РФ, оплата по ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:28.837018 | contains_keyword | args: ('3gusevgg 12 часов назад Не пики, а бассейны: почему эволюция — это блуждание по графу жизни Уровень сложности Средний Время на прочтение 14 мин Охват и читатели 10K Научно-популярное Мнение Каждый, кто хоть раз открывал школьный учебник биологии или читал научно-популярные статьи об искусственном ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:29.657102 | fetch_page | args: ('https://habr.com/ru/articles/1038576/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Не пики, а бассейны: почему эволюция — это блуждание по графу жизни &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_... [truncated]
2026-05-24 15:29:29.668853 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038576/',), kwargs: {} | result: 'Не пики, а бассейны: почему эволюция — это блуждание по графу жизни Каждый, кто хоть раз открывал школьный учебник биологии или читал научно-популярные статьи об искусственном интеллекте, сталкивался с классической и завораживающей метафорой: ландшафт приспособленности (fitness landscape) . Нам рис... [truncated]
2026-05-24 15:29:29.669303 | contains_keyword | args: ('Не пики, а бассейны: почему эволюция — это блуждание по графу жизни Каждый, кто хоть раз открывал школьный учебник биологии или читал научно-популярные статьи об искусственном интеллекте, сталкивался с классической и завораживающей метафорой: ландшафт приспособленности (fitness landscape) . Нам ри... [truncated], kwargs: {} | result: False
2026-05-24 15:29:29.669503 | contains_keyword | args: ('YH7H22 12 часов назад Как Gemini 3.5 Flash сломали ради красивых графиков (и почему она обходит 3.1 Pro только на бумаге) Уровень сложности Средний Время на прочтение 3 мин Охват и читатели 9.8K Машинное обучение * Искусственный интеллект Буквально на днях Google выкатила gemini 3.5 flash. Маркето... [truncated], kwargs: {} | result: False
2026-05-24 15:29:30.352598 | fetch_page | args: ('https://habr.com/ru/articles/1038570/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Как Gemini 3.5 Flash сломали ради красивых графиков (и почему она обходит 3.1 Pro только на бумаге) &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name=... [truncated]
2026-05-24 15:29:30.363882 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038570/',), kwargs: {} | result: 'На презентациях нам показывают графики, где новая, более дешевая gemini 3.5 flash рвет флагманскую gemini 3.1 pro. Цифры выглядят солидно: 76.2% против 70.3% на агентском terminal bench. Но когда я пошел ее тестить, я задался вопросом: "Почему она такая деревянная?" . Модель генерирует текст так, с... [truncated]
2026-05-24 15:29:30.364289 | contains_keyword | args: ('На презентациях нам показывают графики, где новая, более дешевая gemini 3.5 flash рвет флагманскую gemini 3.1 pro. Цифры выглядят солидно: 76.2% против 70.3% на агентском terminal bench. Но когда я пошел ее тестить, я задался вопросом: "Почему она такая деревянная?" . Модель генерирует текст так, ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:30.364486 | contains_keyword | args: ('Helldar 13 часов назад Вредоносная атака на Laravel-Lang Уровень сложности Простой Время на прочтение 4 мин Охват и читатели 10K Информационная безопасность * GitHub * Open source * Управление разработкой * В четыре проекта Laravel-Lang был внедрён вредоносный код, предположительно, ворующий креды... [truncated], kwargs: {} | result: False
2026-05-24 15:29:31.158447 | fetch_page | args: ('https://habr.com/ru/articles/1038542/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Вредоносная атака на Laravel-Lang &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_image">\n<meta name="twitter... [truncated]
2026-05-24 15:29:31.168168 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038542/',), kwargs: {} | result: 'Сегодня мы завершили расследование инцидента, затронувшего несколько composer-пакетов Laravel-Lang. Инцидент был связан с несанкционированным изменением релизных тегов репозиториев. Часть тегов указывала на коммиты с вредоносным кодом, который мог выполняться при установке или обновлении зависимост... [truncated]
2026-05-24 15:29:31.168527 | contains_keyword | args: ('Сегодня мы завершили расследование инцидента, затронувшего несколько composer-пакетов Laravel-Lang. Инцидент был связан с несанкционированным изменением релизных тегов репозиториев. Часть тегов указывала на коммиты с вредоносным кодом, который мог выполняться при установке или обновлении зависимос... [truncated], kwargs: {} | result: False
2026-05-24 15:29:31.168715 | contains_keyword | args: ('Imperius14 14 часов назад meta-attention is all you need Уровень сложности Средний Время на прочтение 20 мин Охват и читатели 11K Машинное обучение * Искусственный интеллект Кейс В этой статье я расскажу о интересной находке во время моих экспериментов с языковыми моделями, которую я решил назвать... [truncated], kwargs: {} | result: False
2026-05-24 15:29:32.024798 | fetch_page | args: ('https://habr.com/ru/articles/1036666/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>meta-attention is all you need &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_image">\n<meta name="twitter:si... [truncated]
2026-05-24 15:29:32.039181 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1036666/',), kwargs: {} | result: 'Введение В этой статье я расскажу о интересной находке во время моих экспериментов с языковыми моделями, которую я решил назвать "мета-трансформерами". Или я нашел реально что-то интересное, или выдал желаемое из действительное, а обьективную оценку может дать только (технически подкованный) внешни... [truncated]
2026-05-24 15:29:32.039777 | contains_keyword | args: ('Введение В этой статье я расскажу о интересной находке во время моих экспериментов с языковыми моделями, которую я решил назвать "мета-трансформерами". Или я нашел реально что-то интересное, или выдал желаемое из действительное, а обьективную оценку может дать только (технически подкованный) внешн... [truncated], kwargs: {} | result: False
2026-05-24 15:29:32.040108 | contains_keyword | args: ('saigor33 14 часов назад Как перестать путаться в IP-адресах серверов Уровень сложности Простой Время на прочтение 3 мин Охват и читатели 13K DevOps * DNS * IT-инфраструктура * Серверное администрирование * Управление разработкой * В своёй работе мне часто необходимо подключаться к серверам через S... [truncated], kwargs: {} | result: False
2026-05-24 15:29:32.523331 | fetch_page | args: ('https://habr.com/ru/articles/1038550/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Как перестать путаться в IP-адресах серверов &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_image">\n<meta na... [truncated]
2026-05-24 15:29:32.532803 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038550/',), kwargs: {} | result: 'В своей работе мне часто необходимо подключаться к серверам через SSH и по другим протоколам. Часто эти сервера не имеют доменного имени, а подключаться необходимо по IP‑адресу. Когда этих серверов 2-3, ещё как-то запоминаешь что на каком сервере находится. Но когда их становится больше 10, то помн... [truncated]
2026-05-24 15:29:32.533071 | contains_keyword | args: ('В своей работе мне часто необходимо подключаться к серверам через SSH и по другим протоколам. Часто эти сервера не имеют доменного имени, а подключаться необходимо по IP‑адресу. Когда этих серверов 2-3, ещё как-то запоминаешь что на каком сервере находится. Но когда их становится больше 10, то пом... [truncated], kwargs: {} | result: False
2026-05-24 15:29:32.533222 | contains_keyword | args: ('ddconsult 14 часов назад Сколько стоят ошибки в арбитраже: декомпозиция ценообразования на судебные услуги в Москве Уровень сложности Средний Время на прочтение 7 мин Охват и читатели 8.1K Управление проектами * Туториал Судебный процесс в арбитражном суде для коммерческой организации — это не про... [truncated], kwargs: {} | result: False
2026-05-24 15:29:33.386511 | fetch_page | args: ('https://habr.com/ru/articles/1038556/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Сколько стоят ошибки в арбитраже: декомпозиция ценообразования на судебные услуги в Москве &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:... [truncated]
2026-05-24 15:29:33.394711 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038556/',), kwargs: {} | result: 'Судебный процесс в арбитражном суде для коммерческой организации — это не просто правовой спор, а контролируемый инвестиционный проект со своими рисками, операционными затратами и прогнозируемой окупаемостью (ROI). Когда компания сталкивается с необходимостью защиты активов, взыскания убытков или о... [truncated]
2026-05-24 15:29:33.395019 | contains_keyword | args: ('Судебный процесс в арбитражном суде для коммерческой организации — это не просто правовой спор, а контролируемый инвестиционный проект со своими рисками, операционными затратами и прогнозируемой окупаемостью (ROI). Когда компания сталкивается с необходимостью защиты активов, взыскания убытков или ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:33.395202 | contains_keyword | args: ('ysrgsyn 14 часов назад Разбираемся в ML без воды: от базы до Attention. Часть 4: kNN Уровень сложности Простой Время на прочтение 5 мин Охват и читатели 8.7K Математика * Машинное обучение * В третьей части мы закончили с линейной регрессией. Теперь пора перейти к задаче классификации․ В задачах р... [truncated], kwargs: {} | result: False
2026-05-24 15:29:34.339840 | fetch_page | args: ('https://habr.com/ru/articles/1038554/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Разбираемся в ML без воды: от базы до Attention. Часть 4: kNN &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_... [truncated]
2026-05-24 15:29:34.352306 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038554/',), kwargs: {} | result: 'В третьей части мы закончили с линейной регрессией. Теперь пора перейти к задаче классификации․ В задачах регрессии модель пытается предсказать некоторое число: цену автомобиля, размер обуви, ожидаемую выручку бизнеса и так далее. Классификационная модель, в свою очередь, занимается распределением ... [truncated]
2026-05-24 15:29:34.352646 | contains_keyword | args: ('В третьей части мы закончили с линейной регрессией. Теперь пора перейти к задаче классификации․ В задачах регрессии модель пытается предсказать некоторое число: цену автомобиля, размер обуви, ожидаемую выручку бизнеса и так далее. Классификационная модель, в свою очередь, занимается распределением... [truncated], kwargs: {} | result: False
2026-05-24 15:29:34.352803 | contains_keyword | args: ('RexWolf 15 часов назад Vortex: фреймворк для тех, кого задолбала итальянская кухня в репозитории Уровень сложности Простой Время на прочтение 5 мин Охват и читатели 9.2K Unity * Обзор Жил-был разработчик. Работал на Unity. Любил свою работу. Разработчик любил архитектуру. Поэтому подключил DI-конт... [truncated], kwargs: {} | result: True
2026-05-24 15:29:34.352905 | contains_keyword | args: ('valeryan86 15 часов назад Использование тепла ЦОД в мире и РФ Время на прочтение 4 мин Охват и читатели 8.8K Энергия и элементы питания Экология Машинное обучение * Хранение данных * Всем привет! Хотелось бы поговорить о выбросах тепла ЦОД в атмосферу и способах его использования. Все уже слышали ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:34.905788 | fetch_page | args: ('https://habr.com/ru/articles/1038540/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Использование тепла ЦОД в мире и РФ &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_image">\n<meta name="twitt... [truncated]
2026-05-24 15:29:34.914600 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038540/',), kwargs: {} | result: 'Всем привет! Хотелось бы поговорить о выбросах тепла ЦОД в атмосферу и способах его использования. Все уже слышали про прогрессивные скандинавские проекты, когда лишнее тепло ЦОД используется в разных отраслях: в ЖКХ, деревообработке и даже в общественных финских саунах. Все это красивые проекты, п... [truncated]
2026-05-24 15:29:34.914848 | contains_keyword | args: ('Всем привет! Хотелось бы поговорить о выбросах тепла ЦОД в атмосферу и способах его использования. Все уже слышали про прогрессивные скандинавские проекты, когда лишнее тепло ЦОД используется в разных отраслях: в ЖКХ, деревообработке и даже в общественных финских саунах. Все это красивые проекты, ... [truncated], kwargs: {} | result: False
2026-05-24 15:29:34.914997 | contains_keyword | args: ('Gromo576 15 часов назад Часть 4. Скорость света — технические детали Время на прочтение 7 мин Охват и читатели 9.6K Научно-популярное Физика Продолжаем тему электромагнитная волна, фотон, скорость света. В части 3 был представлен альтернативный процесс формирования электромагнитной волны, в которо... [truncated], kwargs: {} | result: True
2026-05-24 15:29:34.915085 | contains_keyword | args: ('DrArgentum 16 часов назад Не цитируй мне нейросеть Время на прочтение 3 мин Охват и читатели 12K Open source * Искусственный интеллект Читальный зал Перевод Если твой ответ начинается с «Вот что сказал Claude:» или ты вываливаешь восемьсот слов нередактированной ChatGPT-простыни — поздравляю, ты т... [truncated], kwargs: {} | result: False
2026-05-24 15:29:35.631678 | fetch_page | args: ('https://habr.com/ru/articles/1038534/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Не цитируй мне нейросеть &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_image">\n<meta name="twitter:site" co... [truncated]
2026-05-24 15:29:35.639991 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038534/',), kwargs: {} | result: 'Если твой ответ начинается с "Вот что мне сказал Claude:" или 800 слов неотредактированной простыни от ChatGPT - поздравляю: ты только что доказал, что твой мозг - просто прокладка. Дарвин бы гордился. Пожалуйста, не размножайся. Что ты только что сделал Кто-то задал тебе настоящий вопрос. С контек... [truncated]
2026-05-24 15:29:35.640259 | contains_keyword | args: ('Если твой ответ начинается с "Вот что мне сказал Claude:" или 800 слов неотредактированной простыни от ChatGPT - поздравляю: ты только что доказал, что твой мозг - просто прокладка. Дарвин бы гордился. Пожалуйста, не размножайся. Что ты только что сделал Кто-то задал тебе настоящий вопрос. С конте... [truncated], kwargs: {} | result: False
2026-05-24 15:29:35.640396 | contains_keyword | args: ('rurikovich 17 часов назад Что сейчас с Project Loom? Примеры и код Уровень сложности Средний Время на прочтение 11 мин Охват и читатели 10K Высоконагруженные системы * Java * Kotlin * Анализ и проектирование систем * Веб-разработка * Обзор Практика Project Loom: как включить preview Structured Con... [truncated], kwargs: {} | result: False
2026-05-24 15:29:36.445701 | fetch_page | args: ('https://habr.com/ru/articles/1038528/',), kwargs: {} | result: '<!DOCTYPE html>\n<html lang="ru">\n\n  <head>\n    <title>Что сейчас с Project Loom? Примеры и код &#x2F; Хабр</title>\n<meta property="fb:app_id" content="444736788986613">\n<meta property="fb:pages" content="472597926099084">\n<meta name="twitter:card" content="summary_large_image">\n<meta name="... [truncated]
2026-05-24 15:29:36.457884 | fetch_article_full_text | args: ('https://habr.com/ru/articles/1038528/',), kwargs: {} | result: 'Привет, Хабр! В первой части я разобрал теорию Project Loom: virtual threads, Scoped Values и preview Structured Concurrency. Там была общая картина: зачем Loom появился, почему virtual threads не ускоряют любой код, чем ScopedValue отличается от ThreadLocal , зачем нужны Joiner и почему Structured... [truncated]
2026-05-24 15:29:36.458295 | contains_keyword | args: ('Привет, Хабр! В первой части я разобрал теорию Project Loom: virtual threads, Scoped Values и preview Structured Concurrency. Там была общая картина: зачем Loom появился, почему virtual threads не ускоряют любой код, чем ScopedValue отличается от ThreadLocal , зачем нужны Joiner и почему Structure... [truncated], kwargs: {} | result: False
2026-05-24 15:29:36.458640 | main | args: (), kwargs: {} | result: None
